Umur,Domisili,Province,Jenis Kelamin,Total Twitter Sekunder,Twitter1,Twitter2,Twitter3,Twitter4,Twitter5,Twitter6,Private Second Account,Roleplay Acc,Fake/Spam,Alter Acc,BodySatisfaction,FamCloseness,ParentsinMarriage,LivingApart,Loneliness,SExp1,SExp2,SExp3,SExp4,SExp5,SExp6,SExp,InfSeek1,InfSeek2,InfSeek3,InfSeek4,InfSeek,Soc1,Soc2,Soc3,Soc4,Soc,Div1,Div2,Div,UG_TOT,DA1,DA2,DA3,DA4,DA_OD,IN1,IN2,IN3,IN4,IN5,IN_OD,AS1,AS2,AS3,AS_OD,SI1,SI2,SI3,SI_OD,DI1,DI2,DI3,DI4,DI_OD,MA1,MA2,MA3,MA4,MA_OD,OD_TOT,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS_TOT
1,Aceh,Aceh,1,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,1,0,2,2,5,4,6,6,6,29,6,7,7,7,27,6,6,6,6,24,7,7,14,94,7,5,6,6,24,6,6,6,6,6,30,5,5,5,15,5,5,3,13,3,4,3,7,17,6,3,5,4,18,117,4,4,5,4,5,4,26
1,Aceh,Aceh,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,2,1,0,4,6,2,7,7,7,3,32,7,7,7,6,27,6,5,7,7,25,7,7,14,98,5,6,6,6,23,6,4,4,4,5,23,6,7,6,19,5,4,6,15,1,4,4,5,14,5,5,5,4,19,113,5,5,5,5,5,3,28
1,Aceh,Aceh,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,4,1,1,3,2,1,2,4,4,1,14,7,7,6,4,24,5,4,3,2,14,3,6,9,61,7,6,7,6,26,7,7,7,7,7,35,7,6,7,20,4,4,4,12,3,3,2,2,10,3,3,3,3,12,115,5,5,5,4,3,4,26
2,Aceh,Aceh,0,2,Role Play Account,Fake/Spam/Fan Account,,,,,0,1,1,0,3,3,1,0,2,4,1,4,7,7,1,24,5,7,7,7,26,7,7,7,7,28,7,7,14,92,7,7,7,7,28,5,4,3,3,4,19,7,7,7,21,7,1,5,13,4,4,3,6,17,7,7,7,7,28,126,3,1,5,4,2,1,16
1,Aceh Tamiang,Aceh,0,1,Private Second Account,,,,,,1,0,0,0,2,2,1,1,3,5,4,6,7,5,1,28,7,7,7,5,26,7,5,7,7,26,7,5,12,92,6,4,4,6,20,5,5,6,4,3,23,6,6,5,17,6,6,6,18,6,5,6,6,23,5,2,3,3,13,114,4,4,3,5,3,5,24
0,Ambon,Maluku,0,1,Private Second Account,Private Second Account,,,,,2,0,0,0,4,3,1,0,4,5,1,7,7,5,1,26,7,7,7,3,24,7,4,3,3,17,7,7,14,81,4,7,7,3,21,3,7,5,6,4,25,7,5,6,18,1,1,7,9,1,1,3,3,8,3,3,7,5,18,99,4,3,5,2,3,2,19
1,Ambon,Maluku,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,2,3,0,1,2,3,2,5,5,5,4,24,6,6,6,4,22,6,6,6,6,24,7,6,13,83,3,3,3,2,11,3,4,4,5,3,19,5,5,5,15,5,5,5,15,3,3,2,3,11,3,2,3,3,11,82,5,4,5,4,3,4,25
1,Badung,Bali,0,2,Private Second Account,Alter Account,,,,,1,0,0,1,1,2,1,0,3,5,1,4,7,7,3,27,7,7,7,7,28,7,7,7,7,28,5,7,12,95,7,7,7,2,23,3,1,3,2,2,11,7,7,7,21,7,7,5,19,3,4,1,1,9,2,2,5,1,10,93,4,1,5,4,5,5,24
0,Badung,Bali,0,2,Private Second Account,Fake/Spam/Fan Account,,,,,1,0,1,0,3,2,1,0,4,6,4,7,7,7,4,35,7,7,7,7,28,7,7,7,7,28,7,7,14,105,7,6,7,7,27,7,7,7,7,7,35,7,7,7,21,6,7,6,19,7,5,5,6,23,6,7,4,4,21,146,4,3,5,4,1,1,18
0,Badung,Bali,0,1,Fake/Spam/Fan Account,,,,,,0,0,1,0,3,4,1,0,3,1,1,4,4,6,1,17,7,6,3,4,20,7,7,1,1,16,6,6,12,65,4,4,4,6,18,6,5,6,6,6,29,7,7,7,21,4,4,5,13,4,4,4,4,16,4,6,4,4,18,115,4,3,4,5,2,1,19
