Timestamp,"Studi ini memiliki judul Online Disinhibition sebagai mediator pada Pengaruh Uses & Gratifications terhadap SNS Addiction pada pengguna second account Twitter.
Studi ini diselenggarakan oleh saya Muhammad Dzaki Dwitama, Mahasiswa Psikologi Universitas Islam Bandung. Dalam rangka memenuhi Tugas Akhir.
Studi ini bertujuan untuk meneliti hubungan antara Online Disinhibition, Uses & Gratifications, dan SNS Addiction. Hasil dari studi ini berharap dapat membuat kita lebih memahami bagaimana individu berperilaku online dan bagaimana perilaku tersebut terkait dengan SNS Addiction.
Jika Anda setuju untuk berpartisipasi dalam studi ini, Anda akan diminta untuk menyelesaikan serangkaian survei dan kuesioner. Survei akan menanyakan tentang perilaku online Anda, penggunaan Sosial Media Anda, dan Motif Anda dalam menggunakan Sosial Media. Survei akan memakan waktu sekitar 7-10 menit untuk diselesaikan.
Survei ini mungkin akan menanyakan pertanyaan pribadi, tetapi jawaban Anda akan DIJAGA KERAHASIANNYA. Manfaat dari berpartisipasi dalam studi ini termasuk memberikan kontribusi pada pemahaman perilaku online dan Adiksi SNS yang mungkin akan membantu partisipan memahami perilaku online dalam menggunakan Sosial Media.
Partisipasi Anda dalam studi ini adalah RAHASIA. Data survei akan dijaga kerahasiaannya dan akan diperlakukan sebagaimana mestinya. Data akan digunakan hanya untuk tujuan penelitian.
Partisipasi Anda dalam studi ini adalah sukarela. Anda dapat memilih untuk tidak berpartisipasi atau berhenti berpartisipasi kapan saja tanpa ada konsekuensi negatif.

Terdapat Kompensasi dengan total sebesar 500.000 Rupiah. Data Anda akan diminta diakhir survey untuk mendapatkan kesempatan memenangkan bagian dari kompensasi ini.
Jika Anda memiliki pertanyaan tentang studi ini, silakan hubungi peneliti melalui email [dzakidwitama@gmail.com] atau melalui twitter @jekisthename.
Dengan menyetuji di bawah ini, saya mengakui bahwa saya telah membaca dan memahami informasi yang disediakan dalam form persetujuan informasi ini. Saya dengan sukarela setuju untuk berpartisipasi dalam studi dan mengerti bahwa saya dapat menghentikan partisipasi saya kapan saja tanpa dikenakan sanksi.
Hormat saya,
Muhammad Dzaki Dwitama (Peneliti)
10050017043
Fanni Putri Diantina (Pembimbing)
Universitas Islam Bandung
Fakultas Psikologi",Respondend Number,Domisili (Kota),Umur,Menggunakan lebih dari 1 Akun Twitter,Jenis Account Twitter yang anda miliki,Jenis Kelamin,Seberapa puas anda dengan penampilan tubuh anda,Apakah anda merasa dekat dengan keluarga,Apakah kedua orang tua masih bersama? (Masih dalam hubungan pernikahan),Apakah anda tinggal terpisah dengan orang tua (Rantau/Kos),Apakah anda merasa sendiri dan kesepian dalam menjalani hari-hari,Untuk mendokumentasikan kehidupan saya,Untuk memberi kabar kepada teman-teman saya,Untuk mencatat apa saja yang sedang/sudah saya lakukan,Untuk mengekspresikan perasaan dan pikiran saya,Untuk memberikan informasi tentang topik yang saya minati,Untuk tetap terhubung dengan teman dan keluarga,Untuk memahami kejadian penting saat ini,Untuk melihat berbagai sudut pandang tentang isu-isu sosial,Untuk mendapatkan informasi dan pengetahuan profesional,Untuk dapat mengenali orang-orang yang berpengaruh,Untuk bersenang-senang,Untuk berkomunikasi dengan orang-orang yang berprinsip sama dengan saya,Untuk bertemu orang baru,Untuk berteman dengan orang-orang yang sulit ditemukan di tempat lain,Untuk mengisi waktu luang,Untuk melupakan permasalahan hidup,Saya merasa saya anonim (tak teridentifikasi) saat berada di dunia maya,Saya yakin bahwa identitas diri saya tidak diketahui oleh orang lain di dunia maya,Saya merasa dapat menyembunyikan identitas saya di dunia maya,Hal-hal yang saya lakukan di dunia maya tidak dapat diidentifikasi pada saya,Saya merasa seperti tidak terlihat di dunia maya,Saya merasa dunia maya mencegah orang lain untuk melihat saya,Saya tidak terlihat saat di dunia maya,Orang lain tidak dapat melihat saya di dunia maya,Hal-hal yang saya lakukan tidak bisa terlihat di dunia maya,"Di dunia maya, saya tidak perlu segera membalas orang lain","Di dunia maya, saya bisa menunda respon/masukan saya kepada orang lain","Di dunia maya, saya bisa menunda untuk membalas orang lain",Silahkan pilih angka 3 jika anda membaca pernyataan ini,Saya menentukan sebuah karakter untuk orang yang sedang berkomunikasi secara online dengan saya,Saya menginterpretasikan pesan orang lain sesuai ekspektasi saya dalam komunikasi online,Saya memahami maksud seseorang dalam pesan yang dikirimkannya dalam dunia maya,Saya merasa sepertinya orang-orang di dunia maya hanya khayalan yang tidak ada kaitannya dengan realitas,Dunia maya adalah sebuah dunia khayalan,Dunia maya tidak memiliki kaitan dengan realita,Dunia maya itu terpisah dengan dunia nyata,Saya jauh dari otoritas dunia nyata ketika saya berada di dunia maya,Saya tidak begitu takut pada otoritas dunia nyata ketika saya berada di dunia maya,Saya merasa bebas dari otoritas dunia nyata ketika berada di dunia maya,Saya merasa otoritas dunia nyata tidak hadir di dunia maya,menghabiskan banyak waktu untuk memikirkan media sosial atau berencana menggunakan media sosial?,merasakan desakan untuk semakin sering menggunakan media sosial?,menggunakan media sosial untuk melupakan masalah-masalah pribadi,"mencoba mengurangi penggunaan media sosial, tetapi tidak berhasil",menjadi gelisah atau bermasalah jika kamu dilarang/dibatasi menggunakan media sosial?,terlalu banyak menggunakan media sosial sehingga berdampak negatif pada pekerjaan/studi kamu?
2/17/2023 20:41:07,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,1,Bandung,18-24,Ya,Role Play Account,Perempuan,2,3,Ya,Tidak,1,6,5,6,7,7,6,7,7,6,7,7,7,6,6,7,5,2,2,2,1,1,2,1,1,1,6,7,7,3,6,7,6,5,4,2,4,5,5,5,3,5,4,5,4,4,5
2/20/2023 17:26:35,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,2,Bandung,18-24,Tidak,Private Second Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2023 17:29:23,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,3,denpasar ,18-24,Ya,Private Second Account,Perempuan,4,1,Tidak,Tidak,4,4,7,7,7,7,4,7,7,1,4,4,7,4,5,4,1,1,1,1,1,1,1,1,1,1,7,7,7,3,3,6,7,4,4,7,7,4,1,4,4,1,1,1,1,1,1
2/20/2023 17:50:32,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,4,Surabaya,25-39,Ya,Alter Account,Perempuan,4,3,Ya,Tidak,4,3,1,3,6,5,1,7,7,6,1,6,7,6,6,7,3,4,5,6,4,2,4,4,4,6,5,5,6,3,6,5,3,5,6,2,5,4,3,4,1,5,5,3,1,3,4
2/20/2023 18:03:41,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,5,Jakarta,18-24,Ya,Private Second Account,Perempuan,4,4,Ya,Ya,3,3,4,5,6,7,7,7,7,6,6,7,5,4,5,6,4,3,4,3,3,3,3,3,3,3,5,5,5,3,5,5,5,2,2,2,3,3,4,4,3,4,4,2,2,2,2
2/20/2023 18:13:33,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,6,Bandung,18-24,Ya,Private Second Account,Laki-Laki,3,3,Ya,Tidak,2,2,2,5,6,6,6,7,7,7,5,7,3,4,4,7,5,3,2,2,3,2,2,1,1,2,5,5,5,3,6,4,6,3,2,1,2,2,3,3,3,5,4,4,3,4,5
2/20/2023 20:11:38,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,7,bandung,18-24,Ya,Private Second Account,Perempuan,2,4,Ya,Tidak,2,3,2,5,7,4,3,3,4,5,6,7,5,4,4,6,7,1,4,3,4,2,4,1,1,4,6,4,5,3,5,4,5,2,1,2,4,4,4,4,4,3,2,4,4,2,4
2/20/2023 21:50:19,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,8,Jakarta Selatan,25-39,Tidak,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2023 21:53:57,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,9,DKI Jakarta,18-24,Tidak,Private Second Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/2023 21:58:20,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,10,DKI Jakarta,18-24,Ya,Fake/Spam/Fan Account,Perempuan,3,3,Ya,Tidak,3,7,3,1,3,3,3,7,4,4,4,7,3,5,6,7,7,7,7,7,7,1,1,6,1,1,5,6,5,3,4,5,5,2,6,6,6,6,6,7,7,5,1,5,5,5,3
2/20/2023 22:10:05,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,11,Jakarta,18-24,Ya,Private Second Account,Perempuan,4,3,Ya,Tidak,2,5,5,4,6,5,7,7,6,6,4,7,4,6,6,7,6,7,5,5,5,2,2,3,4,4,6,5,5,3,6,6,6,6,4,5,7,4,6,6,7,3,2,5,2,1,1
2/20/2023 22:14:49,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,12,Banda Aceh,18-24,Ya,Role Play Account,Perempuan,2,4,Ya,Tidak,1,6,2,6,7,7,2,7,7,7,7,6,6,6,6,7,4,4,5,5,4,4,4,4,4,4,5,5,5,3,3,4,5,3,4,3,3,4,4,4,5,3,2,4,2,2,2
2/20/2023 22:36:26,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,13,Cilacap,18-24,Ya,Alter Account,Perempuan,4,4,Ya,Tidak,2,2,2,3,7,7,2,7,7,7,7,7,4,4,5,7,4,7,7,7,7,4,4,4,4,1,7,7,7,3,5,4,7,3,5,4,3,5,7,7,7,3,4,4,2,1,5
2/21/2023 11:25:26,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,14,balikpapan,18-24,Ya,Private Second Account,Perempuan,3,1,Tidak,Tidak,2,5,6,7,7,7,1,7,7,5,7,5,6,7,7,5,5,1,1,1,1,2,1,1,1,1,4,4,5,3,1,2,4,5,1,2,2,1,1,2,1,3,1,3,2,1,2
2/21/2023 15:47:10,Saya telah membaca dan SETUJU untuk melanjutkan partisipasi,15,Surabaya,25-39,Ya,Private Second Account,Perempuan,4,4,Tidak,Ya,2,1,6,1,7,7,7,7,7,2,1,7,7,7,7,7,7,3,3,5,4,4,4,4,4,4,7,7,7,3,7,7,7,1,1,1,1,4,4,4,3,3,1,5,3,3,3
